Country Name,Year,Primary Enrollment,GDP per Capita
Brazil,2001,19727684.0,41.08930588
Brazil,2001,19727684.0,3.51297402
Brazil,2001,19727684.0,9.69549656
Brazil,2001,19727684.0,111.01912191
Brazil,2001,19727684.0,325.32943381
Brazil,2001,19727684.0,58.62711716
Brazil,2001,19727684.0,158.4045106
Brazil,2001,19727684.0,464.18714958
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,
Brazil,2001,19727684.0,1747.93963100227
Brazil,2001,19727684.0,17.2379363668465
Brazil,2001,19727684.0,3.39809076186881
Brazil,2001,19727684.0,81.5432196476189
Brazil,2001,19727684.0,3.02001777734484
Brazil,2001,19727684.0,4.34662169566647
Brazil,2001,19727684.0,4.81510343735921
Brazil,2001,19727684.0,11.2332119765729
Brazil,2001,19727684.0,2.74422540699161
Brazil,2001,19727684.0,9015000000.0
Brazil,2001,19727684.0,2.49000000953674
Brazil,2001,19727684.0,5.61999988555908
Brazil,2001,19727684.0,4.38000011444092
Brazil,2001,19727684.0,16.4200000762939
Brazil,2001,19727684.0,10.8699998855591
Brazil,2001,19727684.0,20.0499992370605
Brazil,2001,19727684.0,21.5699996948242
Brazil,2001,19727684.0,12.9899997711182
Brazil,2001,19727684.0,27.1700000762939
Brazil,2001,19727684.0,62.0099983215332
Brazil,2001,19727684.0,76.1399993896484
Brazil,2001,19727684.0,52.7799987792969
Brazil,2001,19727684.0,44.6269989013672
Brazil,2001,19727684.0,46.9500007629395
Brazil,2001,19727684.0,71.1350021362305
Brazil,2001,19727684.0,73.9599990844727
Brazil,2001,19727684.0,57.5989990234375
Brazil,2001,19727684.0,59.9000015258789
Brazil,2001,19727684.0,37.5110015869141
Brazil,2001,19727684.0,39.2799987792969
Brazil,2001,19727684.0,58.9500007629395
Brazil,2001,19727684.0,61.6699981689453
Brazil,2001,19727684.0,48.3170013427734
Brazil,2001,19727684.0,50.3899993896484
Brazil,2001,19727684.0,20.4791291142512
Brazil,2001,19727684.0,3.9
Brazil,2001,19727684.0,5.31679478220359
Brazil,2001,19727684.0,1076.27549216658
